"category_id","threshold_duration_time_in_mega_promotion"
"5585","30"
"5586","30"
"5589","30"
"5590","30"
"5604","30"
"5609","30"
"5695","30"
"5697","30"
"5698","30"
"5699","30"
"5721","30"
"5725","30"
"5726","30"
"5738","30"
"5743","30"
"5745","30"
"5746","30"
"5750","30"
"5751","30"
"5752","30"
"5773","30"
"5774","30"
"5775","30"
"5776","30"
"5777","30"
"5778","30"
"5779","30"
"5780","30"
"5781","30"
"5782","30"
"5783","30"
"5784","30"
"5785","30"
"5786","30"
"5788","30"
"5789","30"
"5790","30"
"5792","30"
"5793","30"
"5794","30"
"5795","30"
"5796","30"
"5797","30"
"5798","30"
"5800","30"
"5801","30"
"5803","30"
"5804","30"
"5806","30"
"5807","30"
"5808","30"
"5812","30"
"5814","30"
"5815","30"
"5818","30"
"5821","30"
"5829","30"
"5830","30"
"5831","30"
"5832","30"
"5844","30"
"5845","30"
"5848","30"
"5849","30"
"5857","30"
"5859","30"
"5862","30"
"5863","30"
"5864","30"
"5865","30"
"5867","30"
"5870","30"
"5871","30"
"5872","30"
"5874","30"
"5876","30"
"5880","30"
"5885","30"
"5886","30"
"5888","30"
"5896","30"
"5897","30"
"5902","30"
"5903","30"
"5908","30"
"5909","30"
"5910","30"
"5911","30"
"5912","30"
"5913","30"
"5914","30"
"5919","30"
"5921","30"
"5922","30"
"5928","30"
"5929","30"
"5930","30"
"5960","30"
"5962","30"
"5964","30"
"5979","30"
"5980","30"
"5982","30"
"5983","30"
"5984","30"
"5985","30"
"5986","30"
"5987","30"
"5988","30"
"5989","30"
"5992","30"
"5993","30"
"5994","30"
"5998","30"
"6000","30"
"6004","30"
"6005","30"
"6012","30"
"6013","30"
"6014","30"
"6016","30"
"6017","30"
"6018","30"
"6019","30"
"6021","30"
"6022","30"
"6023","30"
"6024","30"
"6025","30"
"6029","30"
"6030","30"
"6032","30"
"6033","30"
"6044","30"
"6048","30"
"6055","30"
"6074","30"
"6077","30"
"6078","30"
"6079","30"
"6084","30"
"6085","30"
"6086","30"
"6087","30"
"6088","30"
"6099","30"
"6102","30"
"6105","30"
"6116","30"
"6119","30"
"6129","30"
"6130","30"
"6131","30"
"6132","30"
"6136","30"
"6137","30"
"6138","30"
"6139","30"
"6140","30"
"6141","30"
"6144","30"
"6148","30"
"6149","30"
"6151","30"
"6154","30"
"6155","30"
"6156","30"
"6157","30"
"6163","30"
"6164","30"
"6165","30"
"6166","30"
"6167","30"
"6168","30"
"6169","30"
"6170","30"
"6171","30"
"6172","30"
"6173","30"
"6176","30"
"6177","30"
"6178","30"
"6184","30"
"6185","30"
"6186","30"
"6187","30"
"6189","30"
"6190","30"
"6191","30"
"6192","30"
"6194","30"
"6195","30"
"6204","30"
"6205","30"
"6206","30"
"6209","30"
"6210","30"
"6216","30"
"6218","30"
"6220","30"
"6221","30"
"6223","30"
"6224","30"
"6228","30"
"6229","30"
"6232","30"
"6233","30"
"6235","30"
"6236","30"
"6238","30"
"6239","30"
"6240","30"
"6242","30"
"6243","30"
"6244","30"
"6245","30"
"6247","30"
"6255","30"
"6258","30"
"6261","30"
"6265","30"
"6266","30"
"6268","30"
"6269","30"
"6270","30"
"6272","30"
"6273","30"
"6275","30"
"6276","30"
"6277","30"
"6278","30"
"6279","30"
"6280","30"
"6281","30"
"6282","30"
"6283","30"
"6285","30"
"6287","30"
"6289","30"
"6294","30"
"6295","30"
"6297","30"
"6298","30"
"6299","30"
"6301","30"
"6302","30"
"6303","30"
"6304","30"
"6305","30"
"6306","30"
"6307","30"
"6311","30"
"6312","30"
"6313","30"
"6315","30"
"6316","30"
"6317","30"
"6318","30"
"6319","30"
"6321","30"
"6322","30"
"6323","30"
"6324","30"
"6326","30"
"6327","30"
"6328","30"
"6329","30"
"6330","30"
"6331","30"
"6332","30"
"6333","30"
"6334","30"
"6335","30"
"6336","30"
"6337","30"
"6338","30"
"6339","30"
"6340","30"
"6341","30"
"6342","30"
"6343","30"
"6344","30"
"6345","30"
"6346","30"
"6347","30"
"6350","30"
"6351","30"
"6352","30"
"6354","30"
"6355","30"
"6356","30"
"6357","30"
"6359","30"
"6361","30"
"6362","30"
"6363","30"
"6364","30"
"6367","30"
"6368","30"
"6369","30"
"6370","30"
"6371","30"
"6390","30"
"6395","30"
"6397","30"
"6406","30"
"6407","30"
"6409","30"
"6410","30"
"6411","30"
"6412","30"
"6413","30"
"6414","30"
"6416","30"
"6417","30"
"6420","30"
